Zupanija,Tip jedinice,Ime jedinice
XVIII ISTARSKA,Op?ina,Mar?ana
XVIII ISTARSKA,Op?ina,Medulin
XVIII ISTARSKA,Op?ina,Motovun-Montona
XVIII ISTARSKA,Grad,Novigrad-Cittanova
XVIII ISTARSKA,Op?ina,Oprtalj-Portole
XVIII ISTARSKA,Grad,Pazin
XVIII ISTARSKA,Op?ina,Pi?an
XVIII ISTARSKA,Grad,Pore?-Parenzo
XVIII ISTARSKA,Grad,Pula-Pola
XVIII ISTARSKA,Op?ina,Raša
XVIII ISTARSKA,Grad,Rovinj-Rovigno
XVIII ISTARSKA,Op?ina,Sveta Nedelja
XVIII ISTARSKA,Op?ina,Sveti Lovre?
XVIII ISTARSKA,Op?ina,Sveti Petar u Šumi
XVIII ISTARSKA,Op?ina,Svetvin?enat
XVIII ISTARSKA,Op?ina,Tar-Vabriga-Torre Abrega
XVIII ISTARSKA,Op?ina,Tinjan
XVIII ISTARSKA,Grad,Umag-Umago
XVIII ISTARSKA,Op?ina,Višnjan-Visignano
XVIII ISTARSKA,Op?ina,Vižinada-Visinada
XVIII ISTARSKA,Grad,Vodnjan-Dignano
XVIII ISTARSKA,Op?ina,Vrsar-Orsera
XVIII ISTARSKA,Op?ina,Žminj
XX ME?IMURSKA,Op?ina,Belica
XX ME?IMURSKA,Grad,?akovec
XX ME?IMURSKA,Op?ina,Dekanovec
XX ME?IMURSKA,Op?ina,Domašinec
XX ME?IMURSKA,Op?ina,Donja Dubrava
XX ME?IMURSKA,Op?ina,Donji Kraljevec
XX ME?IMURSKA,Op?ina,Donji Vidovec
XX ME?IMURSKA,Op?ina,Gori?an
XX ME?IMURSKA,Op?ina,Gornji Mihaljevec
XX ME?IMURSKA,Op?ina,Kotoriba
XX ME?IMURSKA,Op?ina,Mala Subotica
XX ME?IMURSKA,Grad,Mursko Središ?e
XX ME?IMURSKA,Op?ina,Nedeliš?e
XX ME?IMURSKA,Op?ina,Orehovica
XX ME?IMURSKA,Op?ina,Podturen
XX ME?IMURSKA,Grad,Prelog
XX ME?IMURSKA,Op?ina,Pribislavec
XX ME?IMURSKA,Op?ina,Selnica
XX ME?IMURSKA,Op?ina,Strahoninec
XX ME?IMURSKA,Op?ina,Sveta Marija
XX ME?IMURSKA,Op?ina,Sveti Juraj na Bregu
XX ME?IMURSKA,Op?ina,Sveti Martin na Muri
XX ME?IMURSKA,Op?ina,Šenkovec
XX ME?IMURSKA,Op?ina,Štrigova
XX ME?IMURSKA,Op?ina,Vratišinec
XXI GRAD ZAGREB,Grad,Zagreb
